sale_id,sale_date,customer_sk,product_sk,store_sk,quantity,unit_price,sales_amount
1,2026-05-11,12,103,10,3,1900,5700
2,2026-03-22,65,36,22,5,1750,8750
3,2026-04-04,102,94,22,2,5050,10100
4,2026-07-11,71,104,15,5,400,2000
5,2026-06-10,18,59,23,3,15900,47700
6,2026-02-24,41,112,6,3,7650,22950
7,2026-04-09,103,38,20,1,2000,2000
8,2026-08-28,13,60,16,3,2100,6300
9,2026-07-09,2,45,23,1,2200,2200
10,2026-03-26,15,106,2,4,2800,11200
11,2026-02-11,77,66,4,2,39200,78400
12,2026-08-24,79,111,23,1,2350,2350
13,2026-03-07,100,63,25,4,12700,50800
14,2026-05-23,20,24,18,3,8250,24750
15,2026-06-01,100,94,23,1,5050,5050
16,2026-02-11,96,84,1,2,1750,3500
17,2026-03-31,39,28,24,5,1400,7000
18,2026-04-26,93,47,10,3,6350,19050
19,2026-08-09,66,68,24,2,2100,4200
20,2026-06-04,13,58,4,3,2800,8400
21,2026-04-20,96,33,7,3,1800,5400
22,2026-08-31,32,18,9,3,61600,184800
23,2026-02-14,15,57,7,3,1600,4800
24,2026-04-20,18,46,13,2,1100,2200
25,2026-03-01,58,46,8,2,1100,2200
26,2026-06-03,103,22,2,5,6700,33500
27,2026-07-29,63,68,4,2,2100,4200
28,2026-04-24,13,4,7,2,29500,59000
29,2026-01-30,75,3,20,2,74200,148400
30,2026-07-19,74,31,22,2,5850,11700
31,2026-01-26,31,96,6,2,33050,66100
32,2026-02-24,69,113,8,5,8500,42500
33,2026-07-16,31,87,19,3,1250,3750
34,2026-04-23,30,41,12,5,300,1500
35,2026-05-02,106,23,1,1,8500,8500
36,2026-04-12,108,39,18,1,950,950
37,2026-05-18,76,55,17,4,1500,6000
38,2026-02-21,41,107,22,1,4250,4250
39,2026-06-08,24,50,5,4,2000,8000
40,2026-07-17,99,109,17,1,12000,12000
41,2026-02-18,38,84,17,5,1750,8750
42,2026-04-17,93,116,1,3,21250,63750
43,2026-09-02,75,91,8,2,9550,19100
44,2026-01-06,4,104,18,5,400,2000
45,2026-06-29,72,70,11,1,2000,2000
46,2026-06-03,70,76,19,1,2950,2950
47,2026-08-12,106,106,6,1,2800,2800
